"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1312.99/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xb53bc021048fc749b201e0cdcab7499e3ddd40a00b5634f2346dd780c6553efa","13997398","1642080185","2022-01-13 13:23:05","0xac000d8081428f2caded1826b463d2ddc848c1e8","0x12be0666d73e60351289859c2ffcf9a3f9796c2d","","0.1","0","131.299","0.002562775736325","3.36489891403736","3242.26","","","Transfer",""
"0xbfb498551eb2d5ba0c8dd6ff55b87d6a80adb0138975f1e103772ea932e023b8","13997444","1642080890","2022-01-13 13:34:50","0x8961e8a576b3da1b690453838a9ca1e8f467f23f","0x12be0666d73e60351289859c2ffcf9a3f9796c2d","","0.076213746237142861","0","100.067886671906","0.004251323360571","5.58194505919612","3242.26","","","Transfer",""
"0x5a2ddfbe40c0b78c5779f926792b669bdfa9accd2cc841f308c02b416b09a125","13997454","1642081117","2022-01-13 13:38:37","0x12be0666d73e60351289859c2ffcf9a3f9796c2d","0xad77a557de6f429f5604737b365286b3de67a3d6","","0","0.05","65.6495","0.004333876936284","5.69033707857153","3242.26","","","Transfer",""
"0x58d12d23b873afa2627f3d5b43dc78ce29a1e7e7a69232255eed640c265297db","13997478","1642081351","2022-01-13 13:42:31","0xac000d8081428f2caded1826b463d2ddc848c1e8","0x12be0666d73e60351289859c2ffcf9a3f9796c2d","","4.5","0","5908.455","0.003567835800291","4.68453272742408","3242.26","","","Transfer",""
"0x3fbf4e8f52fe36d30cab0b8abec20f79f86cce455f0a649ec52b9f8ef673c903","13997835","1642085538","2022-01-13 14:52:18","0x12be0666d73e60351289859c2ffcf9a3f9796c2d","0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7","","0","4.5","5908.455","0.00767584","10.0783011616","3242.26","","","Deposit",""
"0xd6f1ef75359bde70168ef5030e52bac22df4e55c4c60c1d7c448822a9437d1a9","14001198","1642130850","2022-01-14 03:27:30","0x12be0666d73e60351289859c2ffcf9a3f9796c2d","0xeb4f4631759179652f40cae77ad51b4e076765fc","","0","0.105","137.86395","0.003145968802158","4.13062557754543","3309.66","","","Transfer",""
"0xeac6ebd5110e808219ea97847966ecf46fda30c37feeb58710f3af998798aa48","14034650","1642577663","2022-01-19 07:34:23","0xac000d8081428f2caded1826b463d2ddc848c1e8","0x12be0666d73e60351289859c2ffcf9a3f9796c2d","","0.1","0","131.299","0.001847485494372","2.42572997925549","3084.78","","","Transfer",""
"0x80d598c4b0ee1a648f75038ef26462ac68c1254497ca1e6a59d4000280b63501","14034663","1642577823","2022-01-19 07:37:03","0x12be0666d73e60351289859c2ffcf9a3f9796c2d","0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7","","0","0","0","0.00366840239931256","4.8165756662734","3084.78","","","Set Approval For All",""
"0x32f92a47cb38e7532401c6e90b18d6ef9ae5471fc4f1be5834a342d885c5ab97","14182533","1644552972","2022-02-11 04:16:12","0x156938e058c0bf2a4cebcb069cd92c657b63fe73","0x12be0666d73e60351289859c2ffcf9a3f9796c2d","","0.0358632547391339","0","47.0880948399354","0.002866132811094","3.76320371963831","2928.93","","","Transfer",""
"0xc48c6d3f7cf13be910f94f68efd049e9f2c70037f27ef4410ec5657e926e2984","14182537","1644553025","2022-02-11 04:17:05","0x12be0666d73e60351289859c2ffcf9a3f9796c2d","0xa5409ec958c83c3f309868babaca7c86dcb077c1","","0","0","0","0.046864171184391342","61.532188123394","2928.93","","","Register Proxy",""
